Tue May 30 15:33:59 2017    log_profile.txt

         54517750 function calls (54291806 primitive calls) in 33.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1091    0.002    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/transforms.py:86(__init__)
       96    0.000    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_compile.py:516(_code)
       20    0.000    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:1571(parseString)
        2    0.000    0.000    0.010    0.005 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:625(__init__)
        1    0.000    0.000    0.009    0.009 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/machar.py:98(__init__)
        1    0.001    0.001    0.009    0.009 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/machar.py:116(_do_init)
       48    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/patches.py:670(get_patch_transform)
       48    0.001    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/patches.py:654(_update_patch_transform)
       18    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/rcsetup.py:392(validate_font_properties)
       96    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/lines.py:497(set_fillstyle)
       18    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/fontconfig_pattern.py:119(parse)
       24    0.001    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:870(__init__)
      253    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:816(get_data)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/ssl.py:88(<module>)
   148/60    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:627(get_xaxis_transform)
       28    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:660(set_clip_path)
      774    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/transforms.py:1640(__init__)
     3563    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
       38    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/patches.py:191(get_transform)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:967(rc_params)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/utils.py:5(<module>)
     1732    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/fromnumeric.py:1900(any)
     3105    0.008    0.000    0.008    0.000 {built-in method numpy.core.multiarray.array}
