Tue May 30 15:47:07 2017    log_profile.txt

         49575723 function calls (49349779 primitive calls) in 32.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/machar.py:98(__init__)
        1    0.001    0.001    0.010    0.010 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/machar.py:116(_do_init)
    16/14    0.000    0.000    0.010    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:545(_get_tick2line)
      445    0.002    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/path.py:103(__init__)
       10    0.000    0.000    0.010    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:1765(add_patch)
       96    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:148(__init__)
       20    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:1571(parseString)
     3563    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      253    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:816(get_data)
    16/14    0.000    0.000    0.009    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:407(_get_tick2line)
       96    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/lines.py:1095(set_marker)
       24    0.001    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:870(__init__)
   406/20    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:1347(_parseNoCache)
